#From tic172518755_20201217_ulmt_rp_datasubset.dat
#BJD_TDB	rel_flux_T1_n
2459200.851606	1.000119     
2459200.852499	0.999979      
2459200.853389	0.999780      
2459200.854279	0.999539      
2459200.855169	1.000699      
2459200.856061	1.000592      
2459200.856951	0.999285      
2459200.857841	1.000330      
2459200.858732	1.000033      
2459200.859622	0.999410      
2459200.860512	0.999973      
2459200.861402	0.999342      
2459200.862292	0.999816      
2459200.863183	1.001297      
2459200.864074	0.999425      
2459200.864964	0.999167      
2459200.865855	0.999225      
2459200.866745	1.000791      
2459200.867635	1.001646      
2459200.868525	1.000649      
2459200.869416	1.000316      
2459200.870307	0.999583      
2459200.871197	0.998813      
2459200.872088	1.000624      
2459200.872978	1.000283      
2459200.873869	0.999862      
2459200.874759	0.999206      
2459200.875650	0.999510      
2459200.876540	1.002167      
2459200.877430	1.000987      
2459200.878321	0.999880      
2459200.879211	1.000189      
2459200.880101	1.000617      
2459200.880992	0.999313      
2459200.881882	0.998917      
2459200.882773	1.000690      
2459200.883663	0.999952      
2459200.884553	1.000039      
2459200.885443	0.998969      
2459200.886334	0.999884      
2459200.887224	0.999138      
2459200.888114	1.000226      
2459200.889005	0.999681      
2459200.889895	0.999734      
2459200.890785	1.000494      
2459200.891675	1.001325      
2459200.892565	1.001124      
2459200.893456	1.000326      
2459200.894347	0.999874      
2459200.895237	1.000167      
2459200.896128	1.000789      
2459200.897018	0.999654      
2459200.897909	1.000352      
2459200.898799	1.000392      
2459200.899690	1.000135      
2459200.900582	1.000004      
2459200.901472	1.000365      
2459200.902362	1.000620      
2459200.903254	0.999836      
2459200.904144	0.999252      
2459200.905034	0.998187      
2459200.905924	0.999391      
2459200.906815	0.998233      
2459200.907705	0.998875      
2459200.908596	0.999832      
2459200.909487	0.998091      
2459200.910377	0.998825      
2459200.911267	0.998190      
2459200.912157	0.998329      
2459200.913048	0.998972      
2459200.913939	0.998742      
2459200.914829	0.999483      
2459200.915719	0.998488      
2459200.916609	0.997532      
2459200.917500	0.998210      
2459200.918391	0.998099      
2459200.919281	0.998096      
2459200.920171	0.998618      
2459200.921062	0.998146      
2459200.921953	0.998647      
2459200.922844	0.997560      
2459200.923733	0.998980      
2459200.924624	0.999311      
2459200.925514	0.998354      
2459200.926404	0.998042      
2459200.927294	0.996982      
2459200.928186	0.998972      
2459200.929076	0.998695      
2459200.929967	0.997714      
2459200.930857	0.997792      
2459200.931747	0.998881      
2459200.932637	0.997619      
2459200.933528	0.999323      
2459200.934418	0.997453      
2459200.935308	0.998364      
2459200.936201	0.997624      
2459200.937092	0.997114      
2459200.937982	0.997285      
2459200.938872	0.997150      
2459200.939762	0.996842      
2459200.940652	0.997416      
2459200.941543	0.996881      
2459200.942433	0.997461      
2459200.943323	0.997676      
2459200.944214	0.997068      
